datetime,ax,ay,az
2026/4/18 19:52:27.7826,0.635700,0.050700,0.834600
2026/4/18 19:52:27.7926,0.639600,0.058500,0.834600
2026/4/18 19:52:27.8026,0.635700,0.058500,0.834600
2026/4/18 19:52:27.8126,0.639600,0.054600,0.834600
2026/4/18 19:52:27.8226,0.635700,0.054600,0.842400
2026/4/18 19:52:27.8326,0.635700,0.058500,0.834600
2026/4/18 19:52:27.8426,0.631800,0.058500,0.846300
2026/4/18 19:52:27.8526,0.631800,0.058500,0.834600
2026/4/18 19:52:27.8626,0.635700,0.054600,0.834600
2026/4/18 19:52:27.8726,0.639600,0.062400,0.826800
2026/4/18 19:52:27.8826,0.635700,0.062400,0.834600
2026/4/18 19:52:27.8926,0.635700,0.058500,0.830700
2026/4/18 19:52:27.9026,0.639600,0.058500,0.834600
2026/4/18 19:52:27.9126,0.639600,0.058500,0.834600
2026/4/18 19:52:27.9226,0.635700,0.062400,0.838500
2026/4/18 19:52:27.9326,0.635700,0.062400,0.834600
2026/4/18 19:52:28.0546,0.631800,0.062400,0.834600
2026/4/18 19:52:28.0646,0.635700,0.054600,0.834600
2026/4/18 19:52:28.0746,0.635700,0.058500,0.834600
2026/4/18 19:52:28.0846,0.639600,0.058500,0.842400
2026/4/18 19:52:28.0946,0.639600,0.058500,0.834600
2026/4/18 19:52:28.1046,0.635700,0.058500,0.838500
2026/4/18 19:52:28.1146,0.635700,0.058500,0.826800
2026/4/18 19:52:28.1246,0.631800,0.058500,0.834600
2026/4/18 19:52:28.1346,0.635700,0.062400,0.834600
2026/4/18 19:52:28.1446,0.635700,0.054600,0.834600
2026/4/18 19:52:28.1546,0.635700,0.058500,0.834600
2026/4/18 19:52:28.1646,0.635700,0.054600,0.834600
2026/4/18 19:52:28.1746,0.635700,0.054600,0.834600
2026/4/18 19:52:28.1846,0.639600,0.054600,0.834600
2026/4/18 19:52:28.1946,0.635700,0.058500,0.830700
2026/4/18 19:52:28.2046,0.639600,0.054600,0.834600
2026/4/18 19:52:28.2146,0.635700,0.058500,0.834600
2026/4/18 19:52:28.2246,0.635700,0.058500,0.834600
2026/4/18 19:52:28.2346,0.639600,0.058500,0.834600
2026/4/18 19:52:28.2446,0.635700,0.058500,0.826800
2026/4/18 19:52:28.3666,0.635700,0.058500,0.842400
2026/4/18 19:52:28.3766,0.639600,0.058500,0.838500
2026/4/18 19:52:28.3866,0.635700,0.058500,0.830700
2026/4/18 19:52:28.3966,0.639600,0.050700,0.830700
2026/4/18 19:52:28.4066,0.635700,0.058500,0.830700
2026/4/18 19:52:28.4166,0.639600,0.058500,0.830700
2026/4/18 19:52:28.4266,0.635700,0.062400,0.834600
2026/4/18 19:52:28.4366,0.635700,0.058500,0.834600
2026/4/18 19:52:28.4466,0.639600,0.058500,0.834600
2026/4/18 19:52:28.4566,0.635700,0.058500,0.834600
2026/4/18 19:52:28.4666,0.635700,0.062400,0.834600
2026/4/18 19:52:28.4766,0.635700,0.054600,0.838500
2026/4/18 19:52:28.4866,0.635700,0.058500,0.834600
2026/4/18 19:52:28.4966,0.635700,0.058500,0.830700
2026/4/18 19:52:28.5066,0.635700,0.058500,0.838500
2026/4/18 19:52:28.5166,0.635700,0.054600,0.834600
2026/4/18 19:52:28.5266,0.635700,0.058500,0.830700
2026/4/18 19:52:28.5366,0.635700,0.054600,0.834600
2026/4/18 19:52:28.5466,0.635700,0.058500,0.834600
2026/4/18 19:52:28.5566,0.635700,0.054600,0.838500
2026/4/18 19:52:28.6786,0.639600,0.054600,0.826800
2026/4/18 19:52:28.6886,0.635700,0.062400,0.834600
2026/4/18 19:52:28.6986,0.639600,0.066300,0.838500
2026/4/18 19:52:28.7086,0.631800,0.058500,0.838500
2026/4/18 19:52:28.7186,0.631800,0.054600,0.830700
2026/4/18 19:52:28.7286,0.631800,0.058500,0.834600
2026/4/18 19:52:28.7386,0.639600,0.062400,0.834600
2026/4/18 19:52:28.7486,0.635700,0.058500,0.842400
2026/4/18 19:52:28.7586,0.639600,0.058500,0.826800
2026/4/18 19:52:28.7686,0.631800,0.062400,0.830700
2026/4/18 19:52:28.7786,0.635700,0.058500,0.830700
2026/4/18 19:52:28.7886,0.627900,0.058500,0.834600
2026/4/18 19:52:28.7986,0.635700,0.058500,0.830700
2026/4/18 19:52:28.8086,0.631800,0.062400,0.830700
2026/4/18 19:52:28.8186,0.635700,0.054600,0.830700
2026/4/18 19:52:28.8286,0.635700,0.054600,0.834600
2026/4/18 19:52:28.8386,0.631800,0.058500,0.834600
2026/4/18 19:52:28.8486,0.631800,0.058500,0.838500
2026/4/18 19:52:28.8586,0.631800,0.054600,0.834600
2026/4/18 19:52:28.8686,0.631800,0.058500,0.830700
2026/4/18 19:52:28.9906,0.631800,0.058500,0.834600
2026/4/18 19:52:29.0006,0.635700,0.058500,0.838500
2026/4/18 19:52:29.0106,0.639600,0.054600,0.834600
2026/4/18 19:52:29.0206,0.631800,0.054600,0.838500
2026/4/18 19:52:29.0306,0.631800,0.058500,0.834600
2026/4/18 19:52:29.0406,0.635700,0.058500,0.834600
2026/4/18 19:52:29.0506,0.635700,0.058500,0.834600
2026/4/18 19:52:29.0606,0.631800,0.062400,0.838500
2026/4/18 19:52:29.0706,0.635700,0.054600,0.834600
2026/4/18 19:52:29.0806,0.635700,0.058500,0.826800
2026/4/18 19:52:29.0906,0.639600,0.058500,0.838500
2026/4/18 19:52:29.1006,0.635700,0.058500,0.838500
2026/4/18 19:52:29.1106,0.635700,0.054600,0.838500
2026/4/18 19:52:29.1206,0.639600,0.054600,0.834600
2026/4/18 19:52:29.1306,0.635700,0.062400,0.838500
2026/4/18 19:52:29.1406,0.631800,0.062400,0.842400
2026/4/18 19:52:29.1506,0.631800,0.054600,0.838500
2026/4/18 19:52:29.1606,0.631800,0.058500,0.830700
2026/4/18 19:52:29.1706,0.639600,0.058500,0.834600
2026/4/18 19:52:29.1806,0.635700,0.054600,0.842400
2026/4/18 19:52:29.3026,0.639600,0.058500,0.830700
2026/4/18 19:52:29.3126,0.635700,0.054600,0.838500
2026/4/18 19:52:29.3226,0.639600,0.058500,0.838500
2026/4/18 19:52:29.3326,0.627900,0.062400,0.830700
2026/4/18 19:52:29.3426,0.631800,0.058500,0.838500
2026/4/18 19:52:29.3526,0.635700,0.058500,0.834600
2026/4/18 19:52:29.3626,0.631800,0.058500,0.834600
2026/4/18 19:52:29.3726,0.639600,0.058500,0.834600
2026/4/18 19:52:29.3826,0.635700,0.062400,0.834600
2026/4/18 19:52:29.3926,0.635700,0.058500,0.834600
2026/4/18 19:52:29.4026,0.635700,0.062400,0.834600
2026/4/18 19:52:29.4126,0.635700,0.058500,0.838500
2026/4/18 19:52:29.4226,0.635700,0.058500,0.834600
2026/4/18 19:52:29.4326,0.635700,0.054600,0.830700
2026/4/18 19:52:29.4426,0.635700,0.058500,0.838500
2026/4/18 19:52:29.4526,0.631800,0.058500,0.838500
2026/4/18 19:52:29.4626,0.635700,0.054600,0.830700
2026/4/18 19:52:29.4726,0.635700,0.062400,0.830700
2026/4/18 19:52:29.4826,0.635700,0.066300,0.838500
2026/4/18 19:52:29.4926,0.631800,0.058500,0.834600
2026/4/18 19:52:29.6146,0.635700,0.058500,0.838500
2026/4/18 19:52:29.6246,0.635700,0.062400,0.834600
2026/4/18 19:52:29.6346,0.635700,0.054600,0.838500
2026/4/18 19:52:29.6446,0.631800,0.058500,0.834600
2026/4/18 19:52:29.6546,0.627900,0.058500,0.826800
2026/4/18 19:52:29.6646,0.635700,0.054600,0.834600
2026/4/18 19:52:29.6746,0.631800,0.058500,0.834600
2026/4/18 19:52:29.6846,0.631800,0.062400,0.834600
2026/4/18 19:52:29.6946,0.631800,0.062400,0.830700
2026/4/18 19:52:29.7046,0.639600,0.058500,0.834600
2026/4/18 19:52:29.7146,0.635700,0.062400,0.834600
2026/4/18 19:52:29.7246,0.635700,0.054600,0.834600
2026/4/18 19:52:29.7346,0.631800,0.062400,0.834600
2026/4/18 19:52:29.7446,0.631800,0.062400,0.830700
2026/4/18 19:52:29.7546,0.631800,0.058500,0.826800
2026/4/18 19:52:29.7646,0.627900,0.062400,0.838500
2026/4/18 19:52:29.7746,0.631800,0.058500,0.834600
2026/4/18 19:52:29.7846,0.627900,0.054600,0.834600
2026/4/18 19:52:29.7946,0.635700,0.062400,0.834600
2026/4/18 19:52:29.8046,0.631800,0.058500,0.830700
2026/4/18 19:52:29.9266,0.639600,0.054600,0.834600
2026/4/18 19:52:29.9366,0.631800,0.066300,0.826800
2026/4/18 19:52:29.9466,0.631800,0.058500,0.834600
2026/4/18 19:52:29.9566,0.631800,0.058500,0.834600
2026/4/18 19:52:29.9666,0.631800,0.054600,0.834600
2026/4/18 19:52:29.9766,0.631800,0.062400,0.834600
2026/4/18 19:52:29.9866,0.635700,0.058500,0.830700
2026/4/18 19:52:29.9966,0.635700,0.054600,0.834600
2026/4/18 19:52:30.0066,0.635700,0.058500,0.830700
2026/4/18 19:52:30.0166,0.631800,0.054600,0.834600
2026/4/18 19:52:30.0266,0.635700,0.058500,0.826800
2026/4/18 19:52:30.0366,0.635700,0.054600,0.830700
2026/4/18 19:52:30.0466,0.631800,0.062400,0.830700
2026/4/18 19:52:30.0566,0.635700,0.058500,0.834600
2026/4/18 19:52:30.0666,0.635700,0.062400,0.834600
2026/4/18 19:52:30.0766,0.631800,0.058500,0.834600
2026/4/18 19:52:30.0866,0.635700,0.058500,0.834600
2026/4/18 19:52:30.0966,0.635700,0.058500,0.830700
2026/4/18 19:52:30.1066,0.639600,0.058500,0.830700
2026/4/18 19:52:30.1166,0.639600,0.054600,0.834600
2026/4/18 19:52:30.2386,0.631800,0.054600,0.838500
2026/4/18 19:52:30.2486,0.639600,0.062400,0.838500
2026/4/18 19:52:30.2586,0.639600,0.058500,0.834600
2026/4/18 19:52:30.2686,0.627900,0.054600,0.830700
2026/4/18 19:52:30.2786,0.631800,0.058500,0.838500
2026/4/18 19:52:30.2886,0.635700,0.058500,0.830700
2026/4/18 19:52:30.2986,0.639600,0.062400,0.834600
2026/4/18 19:52:30.3086,0.635700,0.062400,0.830700
2026/4/18 19:52:30.3186,0.635700,0.058500,0.842400
2026/4/18 19:52:30.3286,0.631800,0.058500,0.834600
2026/4/18 19:52:30.3386,0.635700,0.054600,0.834600
2026/4/18 19:52:30.3486,0.635700,0.054600,0.834600
2026/4/18 19:52:30.3586,0.631800,0.058500,0.834600
2026/4/18 19:52:30.3686,0.639600,0.054600,0.834600
2026/4/18 19:52:30.3786,0.631800,0.058500,0.834600
2026/4/18 19:52:30.3886,0.631800,0.058500,0.834600
2026/4/18 19:52:30.3986,0.635700,0.054600,0.834600
2026/4/18 19:52:30.4086,0.635700,0.058500,0.834600
2026/4/18 19:52:30.4186,0.631800,0.066300,0.838500
2026/4/18 19:52:30.4286,0.631800,0.062400,0.834600
2026/4/18 19:52:30.5506,0.631800,0.054600,0.838500
2026/4/18 19:52:30.5606,0.631800,0.062400,0.834600
2026/4/18 19:52:30.5706,0.635700,0.058500,0.834600
2026/4/18 19:52:30.5806,0.631800,0.062400,0.834600
2026/4/18 19:52:30.5906,0.631800,0.066300,0.834600
2026/4/18 19:52:30.6006,0.631800,0.058500,0.834600
2026/4/18 19:52:30.6106,0.631800,0.058500,0.834600
2026/4/18 19:52:30.6206,0.639600,0.062400,0.838500
2026/4/18 19:52:30.6306,0.631800,0.058500,0.834600
2026/4/18 19:52:30.6406,0.635700,0.058500,0.834600
2026/4/18 19:52:30.6506,0.639600,0.062400,0.830700
2026/4/18 19:52:30.6606,0.635700,0.058500,0.838500
2026/4/18 19:52:30.6706,0.635700,0.054600,0.838500
2026/4/18 19:52:30.6806,0.639600,0.058500,0.834600
2026/4/18 19:52:30.6906,0.631800,0.058500,0.834600
2026/4/18 19:52:30.7006,0.635700,0.058500,0.842400
2026/4/18 19:52:30.7106,0.631800,0.058500,0.830700
2026/4/18 19:52:30.7206,0.635700,0.058500,0.834600
2026/4/18 19:52:30.7306,0.639600,0.058500,0.834600
2026/4/18 19:52:30.7406,0.635700,0.062400,0.834600
2026/4/18 19:52:30.8626,0.635700,0.058500,0.826800
2026/4/18 19:52:30.8726,0.635700,0.058500,0.838500
